PCODE,NAME,ST_PCODE,FILL_COLOR,BORDER_COLOR,BORDER_WIDTH,LABEL,CATEGORY,LABEL_COLOR,DESCRIPTION
MMR005032,Paungbyin,MMR005,#26C6DA,#00838F,1.5,Paungbyin,Border Area,#333333,
MMR005014,Ayadaw,MMR005,#26C6DA,#00838F,1.5,Ayadaw,Border Area,#333333,
MMR005015,Chaung-U,MMR005,#26C6DA,#00838F,1.5,Chaung-U,Border Area,#333333,
MMR013014,Dawbon,MMR013,#42A5F5,#1565C0,1.5,Dawbon,Development Zone,#333333,
MMR005012,Monywa,MMR005,#26C6DA,#00838F,1.5,Monywa,Border Area,#333333,
MMR005036,Lahe,MMR005,#26C6DA,#00838F,1.5,Lahe,Border Area,#333333,
MMR005035,Layshi,MMR005,#26C6DA,#00838F,1.5,Layshi,Border Area,#333333,
MMR005037,Nanyun,MMR005,#26C6DA,#00838F,1.5,Nanyun,Border Area,#333333,
MMR013035,Lanmadaw,MMR013,#42A5F5,#1565C0,1.5,Lanmadaw,Development Zone,#333333,
MMR005003,Myaung,MMR005,#26C6DA,#00838F,1.5,Myaung,Border Area,#333333,
MMR013036,Latha,MMR013,#42A5F5,#1565C0,1.5,Latha,Development Zone,#333333,
MMR013042,Mayangone,MMR013,#42A5F5,#1565C0,1.5,Mayangone,Development Zone,#333333,
MMR013034,Pabedan,MMR013,#42A5F5,#1565C0,1.5,Pabedan,Development Zone,#333333,
MMR005002,Myinmu,MMR005,#26C6DA,#00838F,1.5,Myinmu,Border Area,#333333,
MMR005001,Sagaing,MMR005,#26C6DA,#00838F,1.5,Sagaing,Border Area,#333333,
MMR005005,Khin-U,MMR005,#26C6DA,#00838F,1.5,Khin-U,Border Area,#333333,
MMR005004,Shwebo,MMR005,#26C6DA,#00838F,1.5,Shwebo,Border Area,#333333,
MMR005010,Tabayin,MMR005,#26C6DA,#00838F,1.5,Tabayin,Border Area,#333333,
MMR005011,Taze,MMR005,#26C6DA,#00838F,1.5,Taze,Border Area,#333333,
MMR005006,Wetlet,MMR005,#26C6DA,#00838F,1.5,Wetlet,Border Area,#333333,
MMR005009,Ye-U,MMR005,#26C6DA,#00838F,1.5,Ye-U,Border Area,#333333,
MMR005030,Tamu,MMR005,#26C6DA,#00838F,1.5,Tamu,Border Area,#333333,
MMR005017,Kani,MMR005,#26C6DA,#00838F,1.5,Kani,Border Area,#333333,
MMR005019,Pale,MMR005,#26C6DA,#00838F,1.5,Pale,Border Area,#333333,
MMR005018,Salingyi,MMR005,#26C6DA,#00838F,1.5,Salingyi,Border Area,#333333,
MMR005016,Yinmarbin,MMR005,#26C6DA,#00838F,1.5,Yinmarbin,Border Area,#333333,
MMR016001,Kengtung,MMR016,,,1.5,Kengtung,,#333333,
MMR016002,Mongkhet,MMR016,,,1.5,Mongkhet,,#333333,
MMR015007,Pangwaun,MMR015,,,1.5,Pangwaun,,#333333,
MMR015023,Konkyan,MMR015,,,1.5,Konkyan,,#333333,
MMR015022,Laukkaing,MMR015,,,1.5,Laukkaing,,#333333,
MMR015014,Hsipaw,MMR015,,,1.5,Hsipaw,,#333333,
MMR015012,Kyaukme,MMR015,,,1.5,Kyaukme,,#333333,
MMR015015,Namtu,MMR015,,,1.5,Namtu,,#333333,
MMR015013,Nawnghkio,MMR015,,,1.5,Nawnghkio,,#333333,
MMR015002,Hseni,MMR015,,,1.5,Hseni,,#333333,
MMR015020,Kunlong,MMR015,,,1.5,Kunlong,,#333333,
MMR015001,Lashio,MMR015,,,1.5,Lashio,,#333333,
MMR015003,Mongyai,MMR015,,,1.5,Mongyai,,#333333,
MMR015006,Narphan,MMR015,,,1.5,Narphan,,#333333,
MMR015005,Pangsang (Panghkam),MMR015,,,1.5,Pangsang (Panghkam),,#333333,
MMR015018,Mabein,MMR015,,,1.5,Mabein,,#333333,
MMR015017,Mongmit,MMR015,,,1.5,Mongmit,,#333333,
MMR015011,Kutkai,MMR015,,,1.5,Kutkai,,#333333,
MMR015009,Muse,MMR015,,,1.5,Muse,,#333333,
MMR015010,Namhkan,MMR015,,,1.5,Namhkan,,#333333,
MMR015019,Manton,MMR015,,,1.5,Manton,,#333333,
MMR015016,Namhsan,MMR015,,,1.5,Namhsan,,#333333,
